Gmt time,Open,High,Low,Close,Volume
28.10.2021 05:52:00.000,1.16033,1.16036,1.16032,1.16033,87.86
28.10.2021 05:53:00.000,1.16032,1.16032,1.16024,1.16027,73.2
28.10.2021 05:54:00.000,1.16028,1.16028,1.1602,1.16025,82.53
28.10.2021 05:55:00.000,1.16025,1.16028,1.16023,1.16024,14.23
28.10.2021 05:56:00.000,1.16024,1.16024,1.16015,1.16016,29.76
28.10.2021 05:57:00.000,1.16015,1.1602,1.16015,1.16017,15.84
28.10.2021 05:58:00.000,1.16016,1.16016,1.16006,1.16007,63.72
28.10.2021 05:59:00.000,1.16008,1.16009,1.16004,1.16009,19.32
28.10.2021 06:00:00.000,1.16008,1.16014,1.16003,1.1601,51.95
28.10.2021 06:01:00.000,1.1601,1.16017,1.16008,1.16014,48.1
28.10.2021 06:02:00.000,1.16016,1.16029,1.16016,1.16022,35.14
28.10.2021 06:03:00.000,1.16023,1.16023,1.16005,1.16019,62.72
28.10.2021 06:04:00.000,1.16022,1.1603,1.16015,1.16025,74.5
28.10.2021 06:05:00.000,1.16025,1.16041,1.16025,1.16041,42.85
28.10.2021 06:06:00.000,1.16041,1.16041,1.16025,1.16035,66.01
28.10.2021 06:07:00.000,1.16034,1.16034,1.16015,1.16016,102.16
28.10.2021 06:08:00.000,1.16014,1.16022,1.16014,1.1602,46.98
28.10.2021 06:09:00.000,1.16021,1.16032,1.1602,1.16027,52.02
28.10.2021 06:10:00.000,1.16026,1.16032,1.1602,1.16026,71.08
28.10.2021 06:11:00.000,1.16025,1.16026,1.16015,1.16026,66.01
28.10.2021 06:12:00.000,1.16025,1.16025,1.16015,1.16015,108.31
28.10.2021 06:13:00.000,1.16014,1.16014,1.16004,1.16005,45.04
28.10.2021 06:14:00.000,1.16006,1.16015,1.16005,1.16013,72.2
28.10.2021 06:15:00.000,1.16014,1.16016,1.16005,1.16006,75.53
28.10.2021 06:16:00.000,1.16005,1.16009,1.16001,1.16003,28.48
28.10.2021 06:17:00.000,1.16003,1.16003,1.15987,1.15987,34.84
28.10.2021 06:18:00.000,1.15985,1.15988,1.15975,1.15988,85.03
28.10.2021 06:19:00.000,1.15989,1.15992,1.15982,1.15982,36.45
28.10.2021 06:20:00.000,1.15983,1.15994,1.15982,1.15982,39.48
28.10.2021 06:21:00.000,1.15981,1.15992,1.15981,1.15992,54.92
28.10.2021 06:22:00.000,1.15993,1.15997,1.1599,1.15991,37.01
28.10.2021 06:23:00.000,1.1599,1.16002,1.1599,1.16002,23.64
28.10.2021 06:24:00.000,1.16001,1.16003,1.15995,1.15996,31.4
28.10.2021 06:25:00.000,1.15993,1.15997,1.15992,1.15995,59.33
28.10.2021 06:26:00.000,1.15995,1.15997,1.15986,1.15995,91
28.10.2021 06:27:00.000,1.15995,1.16004,1.15988,1.16004,66.03
